INPUT SPACE DOWN
TRACE_ACTIVE_AFTER_SPACE
HUDCMD_106 all=0147 op=D0 lop=0 sx=128 sy=256 dx=064 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4038 HL=0808
HUDCMD_107 all=0148 op=D0 lop=0 sx=136 sy=256 dx=072 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4838 HL=0808
HUDCMD_108 all=0149 op=D0 lop=0 sx=128 sy=256 dx=080 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5038 HL=0808
HUDCMD_109 all=0150 op=D0 lop=0 sx=136 sy=256 dx=088 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5838 HL=0808
HUDCMD_110 all=0151 op=D0 lop=0 sx=160 sy=256 dx=096 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=6038 HL=0808
HUDCMD_111 all=0152 op=D0 lop=0 sx=152 sy=256 dx=104 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=6838 HL=0808
HUDCMD_112 all=0153 op=D0 lop=0 sx=152 sy=256 dx=112 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=7038 HL=0808
HUDCMD_113 all=0154 op=D0 lop=0 sx=176 sy=256 dx=120 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=7838 HL=0808
HUDCMD_114 all=0155 op=D0 lop=0 sx=128 sy=264 dx=128 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=8038 HL=0808
HUDCMD_115 all=0156 op=D0 lop=0 sx=136 sy=264 dx=136 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=8838 HL=0808
HUDCMD_116 all=0157 op=D0 lop=0 sx=144 sy=264 dx=144 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=9038 HL=0808
HUDCMD_117 all=0158 op=D0 lop=0 sx=152 sy=264 dx=152 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=9838 HL=0808
HUDCMD_118 all=0159 op=D0 lop=0 sx=064 sy=256 dx=160 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=A038 HL=0808
HUDCMD_119 all=0160 op=D0 lop=0 sx=040 sy=256 dx=168 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=A838 HL=0808
HUDCMD_120 all=0161 op=D0 lop=0 sx=128 sy=256 dx=176 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=B038 HL=0808
HUDCMD_121 all=0162 op=D0 lop=0 sx=136 sy=256 dx=184 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=B838 HL=0808
HUDCMD_122 all=0163 op=D0 lop=0 sx=128 sy=256 dx=192 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=C038 HL=0808
HUDCMD_123 all=0164 op=D0 lop=0 sx=136 sy=256 dx=200 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=C838 HL=0808
HUDCMD_124 all=0165 op=D0 lop=0 sx=128 sy=256 dx=208 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=D038 HL=0808
HUDCMD_125 all=0166 op=D0 lop=0 sx=136 sy=256 dx=216 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=D838 HL=0808
HUDCMD_126 all=0167 op=D0 lop=0 sx=128 sy=256 dx=224 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=E038 HL=0808
HUDCMD_127 all=0168 op=D0 lop=0 sx=136 sy=256 dx=232 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=E838 HL=0808
HUDCMD_128 all=0169 op=D0 lop=0 sx=128 sy=256 dx=240 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F038 HL=0808
HUDCMD_129 all=0170 op=D0 lop=0 sx=136 sy=256 dx=248 dy=056 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=F838 HL=0808
HUDCMD_130 all=0171 op=D0 lop=0 sx=128 sy=264 dx=000 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0040 HL=0808
HUDCMD_131 all=0172 op=D0 lop=0 sx=136 sy=264 dx=008 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0840 HL=0808
HUDCMD_132 all=0173 op=D0 lop=0 sx=144 sy=264 dx=016 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1040 HL=0808
HUDCMD_133 all=0174 op=D0 lop=0 sx=152 sy=264 dx=024 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1840 HL=0808
HUDCMD_134 all=0175 op=D0 lop=0 sx=192 sy=280 dx=032 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2040 HL=0808
HUDCMD_135 all=0176 op=D0 lop=0 sx=200 sy=280 dx=040 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2840 HL=0808
HUDCMD_136 all=0177 op=D0 lop=0 sx=208 sy=280 dx=048 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3040 HL=0808
HUDCMD_137 all=0178 op=D0 lop=0 sx=216 sy=280 dx=056 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3840 HL=0808
HUDCMD_138 all=0179 op=D0 lop=0 sx=112 sy=256 dx=064 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4040 HL=0808
HUDCMD_139 all=0180 op=D0 lop=0 sx=120 sy=256 dx=072 dy=064 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4840 HL=0808
