BP_task_input_305 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=025F inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,198,160 pos=8,80
BP_task_input_306 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0260 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,198,160 pos=8,80
BP_task_input_307 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0261 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,198,160 pos=8,80
BP_task_input_308 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0262 inirq=00 input=03 btn=00 key8=7F joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,199,160 pos=8,80
right_after pc=9D87 sp=F37C ret=969F bank=01/02/03/03 flow=01 screen=00 irq=0265 inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,200,160 pos=8,80
t16 pc=9D87 sp=F37C ret=969F bank=01/02/03/03 flow=01 screen=00 irq=029E inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,219,160 pos=8,80
SHOTOK patoantic248_matrix_megarom_konami_t16.png
left_before pc=9D87 sp=F37C ret=969F bank=01/02/03/03 flow=01 screen=00 irq=02DA inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,239,160 pos=8,80
BP_task_input_429 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=02DB inirq=00 input=00 btn=00 key8=EF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,239,160 pos=8,80
BP_task_input_430 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=02DC inirq=00 input=07 btn=00 key8=EF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,239,160 pos=8,80
BP_task_input_431 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=02DD inirq=00 input=07 btn=00 key8=EF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,240,160 pos=8,80
BP_task_input_432 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=02DE inirq=00 input=07 btn=00 key8=EF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,240,160 pos=8,80
