first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_090_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C344 bc=922B de=3AA6 hl=A68C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_091_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=EB44 bc=91F3 de=3EB7 hl=A690 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_092_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3244 bc=90C8 de=3C3E hl=A694 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_093_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C944 bc=8FCD de=A68B hl=A698 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_094_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3244 bc=8EA4 de=C9DC hl=A69C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_095_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=3A44 bc=8D88 de=32EA hl=A6A0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_096_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=A544 bc=8CDC de=893A hl=A6A4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_097_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=EA44 bc=8B32 de=DCA6 hl=A6A8 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_098_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=C944 bc=8AF5 de=2C3A hl=A6AC p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_099_update_entities pc=A0B8 op=6F,26,00 sp=F378 af=E444 bc=89B7 de=1420 hl=A6B0 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
